"location_value","age_value","flesch_reading","flesch_kincaid","coleman_liau","typos_to_words","percent_difficult_words","google_search_similarity","fake"
"0","-8.018","49.75","11.6","13.11","0.014778325123152709","0.24876847290640394","0.7568716827049874","0"
"0","-7.688","50.36","11.4","14.1","0.07685589519650655","0.24192139737991267","0.29066052530536957","0"
"0","-7.688","70.13","8.0","12.53","0.0467706013363029","0.2182628062360802","0.5048671037458095","0"
"0","-7.688","64.3","8.1","12.64","0.06647398843930635","0.21965317919075145","0.22466032583234183","0"
"0","-7.688","52.39","10.6","13.34","0.048668503213957756","0.23415977961432508","0.36214922672127436","0"
"0","-7.688","53.0","10.4","13.92","0.06557377049180328","0.25526932084309134","0.044253588147540386","0"
"0","-7.688","55.95","9.3","13.39","0.1407035175879397","0.22110552763819097","0.07773261594449304","0"
"0.65","-2.417","71.24","7.5","11.37","0.06153846153846154","0.2175824175824176","0.11556778687313421","0"
"0.65","-2.417","61.67","9.1","12.64","0.042746113989637305","0.24352331606217617","0.7185185185185186","0"
"0.65","-2.417","60.65","9.5","13.81","0.034688995215311005","0.24641148325358853","0.037070519947465456","0"
"0.65","-2.417","62.98","8.6","13.22","0.06873614190687362","0.23725055432372505","0.22239875697222117","0"
"0.65","-2.417","57.71","10.7","12.3","0.010135135135135136","0.24493243243243243","0.5055075502407167","0"
"0.65","-2.417","70.02","8.0","11.25","0.050359712230215826","0.2182254196642686","0.2979272838817302","0"
"0","-8.004","59.94","9.8","12.53","0.01179245283018868","0.2240566037735849","0.09341315226757146","0"
"0","-8.004","74.39","6.3","11.48","0.0175054704595186","0.2188183807439825","0.11010926564329827","0"
"0","-8.004","61.06","9.4","10.97","0.005961251862891207","0.20268256333830104","0.11755011441505316","0"
"0","-8.004","49.96","11.6","12.3","0.01240694789081886","0.21836228287841192","0.13389585632798046","0"
"0","-8.004","66.98","9.2","11.55","0.07796610169491526","0.19661016949152543","0.11390127130971471","0"
"0","-8.004","60.95","9.4","11.78","0.009575923392612859","0.213406292749658","0.25475163588606164","0"
"0","-7.9","65.22","7.8","11.82","0.02413793103448276","0.2413793103448276","0.22005930794218","0"
"0","-7.9","45.39","13.3","15.03","0.0311284046692607","0.25680933852140075","0.0818656860858051","0"
